"","Country.Name","Einwohner","gdp","Erwerbslosenquote","temperature","Klimazone"
"1","Albania",NA,NA,NA,12.92,"subtropisch"
"2","Andorra",NA,NA,NA,8.43,"subtropisch"
"3","Austria",9.07,471400066091.247,5.3,7.35,"uebergang"
"4","Belarus",NA,NA,NA,7.33,"landklima"
"5","Belgium",11.73,578604103123.349,5.5,10.47,"seeklima"
"6","Bosnia and Herzegovina",NA,NA,NA,10.66,"uebergang"
"7","Bulgaria",6.94,89040398406.3745,4.5,11.98,"uebergang"
"8","Croatia",3.85,70964606464.6427,6.9,11.95,"subtropisch"
"9","Cyprus",0.93,28439052740.8561,6.6,19.84,"subtropisch"
"10","Czechia",10.96,290923534700.518,2.5,8.5,"uebergang"
"11","Denmark",5.93,395403906582.001,4.4,8.92,"seeklima"
"12","Estonia",1.37,38100812958.5196,7.6,6.28,"landklima"
"13","European Union - 27 countries (from 2020)",451.39,NA,5.9,NA,"NA"
"14","Eurozone",349.79,NA,NA,NA,"NA"
"15","Faroe Islands",NA,NA,NA,6.5,"seeklima"
"16","Finland",5.61,280825957768.484,7.2,2.3,"landklima"
"17","France",68.23,2782905325624.52,7.3,11.57,"seeklima"
"18","Germany",84.55,4072191736089.51,3,9.49,"uebergang"
"19","Greece",10.42,219065872466.25,10.9,14.89,"subtropisch"
"20","Hungary",9.69,178788572067.589,4,11.57,"uebergang"
"21","Iceland",0.39,27841648044.3753,NA,2.4,"subpolar"
"22","Ireland",5.17,529244870222.765,4.1,9.95,"seeklima"
"23","Isle of Man",NA,NA,NA,9.89,"seeklima"
"24","Italy",59.06,2010431598465.38,7.3,13.5,"subtropisch"
"25","Latvia",1.89,41153912662.862,6.6,6.81,"landklima"
"26","Liechtenstein",NA,NA,NA,7.42,"uebergang"
"27","Lithuania",2.87,70334299008.3797,6.1,7.28,"landklima"
"28","Luxembourg",0.66,82274812250.9186,5.3,9.81,"uebergang"
"29","Macedonia",NA,NA,NA,11.42,"uebergang"
"30","Malta",0.53,17765270014.7571,2.7,20.28,"subtropisch"
"31","Moldova",NA,NA,NA,10.94,"landklima"
"32","Monaco",NA,NA,NA,13.62,"subtropisch"
"33","Montenegro",NA,NA,NA,10.2,"subtropisch"
"34","Netherlands",17.82,991114635529.187,3.6,10.39,"seeklima"
"35","Norway",5.47,579267365866.343,NA,2.06,"seeklima"
"36","Poland",38.48,688176605954.787,2.8,8.75,"uebergang"
"37","Portugal",10.39,251945377529.388,6.2,16.09,"subtropisch"
"38","Romania",19.03,301261582924.085,5.4,10.35,"landklima"
"39","Russia",NA,NA,NA,-3.64,"landklima"
"40","San Marino",NA,NA,NA,12.95,"subtropisch"
"41","Serbia",NA,NA,NA,11.67,"uebergang"
"42","Slovakia",5.52,NA,5.8,8.78,"uebergang"
"43","Slovenia",2.12,62117768014.8563,3.5,9.9,"uebergang"
"44","Spain",47.98,1397509272054.48,11.5,14.25,"subtropisch"
"45","Sweden",10.56,585939170123.856,7.6,3.02,"landklima"
"46","Switzerland",8.83,807706035351.75,NA,6.42,"uebergang"
"47","Turkey",NA,NA,NA,12.63,"NA"
"48","Ukraine",NA,NA,NA,9.38,"landklima"
"49","United Kingdom",NA,NA,NA,9.38,"seeklima"
